UID,type,linguistics_term,LSTM,GPT2,TXL,N-Gram,human,n
anaphor_gender_agreement,one-prefix,anaphor_agreement,0.872,0.996,0.918,0.447,0.96,1000
anaphor_gender_agreement,sentence,anaphor_agreement,0.882,0.994,0.912,0.439,0.96,1000
anaphor_number_agreement,one-prefix,anaphor_agreement,0.947,0.998,0.977,0.53,0.99,1000
anaphor_number_agreement,sentence,anaphor_agreement,0.952,0.997,0.97,0.519,0.99,1000
causative,sentence,argument_structure,0.684,0.771,0.575,0.535,0.98,1000
drop_argument,sentence,argument_structure,0.789,0.797,0.703,0.716,0.868947368,1000
inchoative,sentence,argument_structure,0.653,0.683,0.543,0.509,0.82,1000
intransitive,sentence,argument_structure,0.785,0.838,0.672,0.678,0.9,1000
passive_1,sentence,argument_structure,0.719,0.9,0.806,0.892,0.95,1000
passive_2,sentence,argument_structure,0.725,0.898,0.809,0.822,0.86,1000
transitive,sentence,argument_structure,0.647,0.885,0.758,0.708,0.99,1000
transitive,two-prefix,argument_structure,0.594,0.878,0.803,0.701,0.99,1000
principle_A_c_command,one-prefix,binding,0.584,1,0.617,0.568,0.86,1000
principle_A_c_command,sentence,binding,0.588,1,0.608,0.578,0.86,1000
principle_A_case_1,one-prefix,binding,1,0.873,1,1,0.98,1000
principle_A_case_1,sentence,binding,1,0.963,1,1,0.98,1000
principle_A_case_2,one-prefix,binding,0.794,0.728,0.926,0.464,0.96,1000
principle_A_case_2,sentence,binding,0.873,0.727,0.953,0.489,0.96,1000
principle_A_domain_1,one-prefix,binding,0.987,0.995,0.993,0.974,0.95,1000
principle_A_domain_1,sentence,binding,0.983,0.993,0.991,0.952,0.95,1000
principle_A_domain_2,one-prefix,binding,0.69,0.762,0.698,0.563,0.75,1000
principle_A_domain_2,sentence,binding,0.683,0.731,0.697,0.564,0.75,1000
principle_A_domain_3,sentence,binding,0.552,0.822,0.6,0.522,0.828947368,1000
principle_A_domain_3,two-prefix,binding,0.551,0.673,0.867,0.523,0.828947368,1000
principle_A_reconstruction,sentence,binding,0.464,0.369,0.379,0.404,0.78,1000
existential_there_object_raising,sentence,control_raising,0.659,0.915,0.759,0.835,0.898421053,1000
existential_there_object_raising,two-prefix,control_raising,0.665,0.79,0.802,0.833,0.898421053,1000
existential_there_subject_raising,sentence,control_raising,0.795,0.888,0.787,0.774,0.88,1000
expletive_it_object_raising,sentence,control_raising,0.63,0.58,0.715,0.715,0.856842105,1000
expletive_it_object_raising,two-prefix,control_raising,0.625,0.799,0.617,0.715,0.856842105,1000
tough_vs_raising_1,sentence,control_raising,0.336,0.72,0.452,0.326,0.75,1000
tough_vs_raising_2,sentence,control_raising,0.93,0.921,0.861,0.774,0.81,1000
determiner_noun_agreement_1,one-prefix,determiner_noun_agreement,0.897,0.924,0.909,0.814,0.957836257,1000
determiner_noun_agreement_1,sentence,determiner_noun_agreement,0.918,0.995,0.917,0.883,0.957836257,1000
determiner_noun_agreement_2,sentence,determiner_noun_agreement,0.919,0.932,0.811,0.863,0.948947368,1000
determiner_noun_agreement_2,two-prefix,determiner_noun_agreement,0.896,0.983,0.921,0.806,0.948947368,1000
determiner_noun_agreement_irregular_1,one-prefix,determiner_noun_agreement,0.793,0.83,0.851,0.761,0.92,1000
determiner_noun_agreement_irregular_1,sentence,determiner_noun_agreement,0.815,0.942,0.883,0.854,0.92,1000
determiner_noun_agreement_irregular_2,sentence,determiner_noun_agreement,0.86,0.927,0.816,0.904,0.85,1000
determiner_noun_agreement_irregular_2,two-prefix,determiner_noun_agreement,0.831,0.96,0.955,0.853,0.85,1000
determiner_noun_agreement_with_adj_2,sentence,determiner_noun_agreement,0.862,0.902,0.781,0.497,0.96,1000
determiner_noun_agreement_with_adj_2,two-prefix,determiner_noun_agreement,0.836,0.968,0.891,0.497,0.96,1000
determiner_noun_agreement_with_adj_irregular_1,one-prefix,determiner_noun_agreement,0.751,0.932,0.791,0.514,0.937777778,1000
determiner_noun_agreement_with_adj_irregular_1,sentence,determiner_noun_agreement,0.762,0.956,0.808,0.53,0.937777778,1000
determiner_noun_agreement_with_adj_irregular_2,sentence,determiner_noun_agreement,0.829,0.882,0.766,0.554,0.85,1000
determiner_noun_agreement_with_adj_irregular_2,two-prefix,determiner_noun_agreement,0.808,0.931,0.903,0.55,0.85,1000
determiner_noun_agreement_with_adjective_1,one-prefix,determiner_noun_agreement,0.857,0.931,0.847,0.519,0.95,1000
determiner_noun_agreement_with_adjective_1,sentence,determiner_noun_agreement,0.867,0.931,0.859,0.519,0.95,1000
ellipsis_n_bar_1,sentence,ellipsis,0.678,0.875,0.651,0.234,0.92,1000
ellipsis_n_bar_2,sentence,ellipsis,0.674,0.857,0.892,0.504,0.78,1000
wh_questions_object_gap,sentence,filler_gap_dependency,0.794,0.836,0.607,0.527,0.85,1000
wh_questions_subject_gap,sentence,filler_gap_dependency,0.915,0.949,0.825,0.82,0.98,1000
wh_questions_subject_gap_long_distance,sentence,filler_gap_dependency,0.956,0.875,0.862,0.856,0.848888889,1000
wh_vs_that_no_gap,sentence,filler_gap_dependency,0.969,0.973,0.864,0.825,0.97,1000
wh_vs_that_no_gap_long_distance,sentence,filler_gap_dependency,0.973,0.944,0.912,0.81,0.919473684,1000
wh_vs_that_with_gap,sentence,filler_gap_dependency,0.428,0.559,0.42,0.176,0.77,1000
wh_vs_that_with_gap_long_distance,sentence,filler_gap_dependency,0.137,0.555,0.172,0.2,0.746842105,1000
irregular_past_participle_adjectives,sentence,irregular_forms,0.928,0.78,0.905,0.794,0.99,1000
irregular_past_participle_adjectives,two-prefix,irregular_forms,0.885,0.976,0.544,0.793,0.99,1000
irregular_past_participle_verbs,one-prefix,irregular_forms,0.861,0.898,0.698,0.814,0.95,1000
irregular_past_participle_verbs,sentence,irregular_forms,0.853,0.901,0.658,0.796,0.95,1000
adjunct_island,sentence,island_effects,0.674,0.914,0.645,0.479,0.94,1000
complex_NP_island,sentence,island_effects,0.474,0.718,0.575,0.497,0.804444444,1000
coordinate_structure_constraint_complex_left_branch,sentence,island_effects,0.301,0.424,0.358,0.32,0.9,1000
coordinate_structure_constraint_complex_left_branch,two-prefix,island_effects,0.228,0.765,0.446,0.32,0.9,1000
coordinate_structure_constraint_object_extraction,sentence,island_effects,0.705,0.883,0.744,0.593,0.908947368,1000
left_branch_island_echo_question,sentence,island_effects,0.316,0.772,0.63,0.958,0.91,1000
left_branch_island_echo_question,two-prefix,island_effects,0.72,0.45,0.66,0.962,0.91,1000
left_branch_island_simple_question,sentence,island_effects,0.361,0.817,0.355,0.565,0.99,1000
sentential_subject_island,sentence,island_effects,0.428,0.35,0.365,0.605,0.60631579,1000
wh_island,one-prefix,island_effects,0.475,0.61,0.295,0.266,0.73,1000
wh_island,sentence,island_effects,0.467,0.772,0.196,0.562,0.73,1000
matrix_question_npi_licensor_present,sentence,npi_licensing,0.016,0.667,0.007,0.012,0.98,1000
matrix_question_npi_licensor_present,two-prefix,npi_licensing,0.031,0.656,0.43,0.047,0.98,1000
npi_present_1,one-prefix,npi_licensing,0.497,0.694,0.555,0.41,0.83,1000
npi_present_1,sentence,npi_licensing,0.536,0.548,0.605,0.468,0.83,1000
npi_present_2,one-prefix,npi_licensing,0.507,0.784,0.453,0.419,0.98,1000
npi_present_2,sentence,npi_licensing,0.539,0.616,0.482,0.469,0.98,1000
only_npi_licensor_present,sentence,npi_licensing,0.929,0.997,0.798,0.566,0.92,1000
only_npi_licensor_present,two-prefix,npi_licensing,0.986,0.932,0.985,0.566,0.92,1000
only_npi_scope,sentence,npi_licensing,0.364,0.854,0.453,0.298,0.72,1000
only_npi_scope,two-prefix,npi_licensing,0.393,0.917,0.606,0.298,0.72,1000
sentential_negation_npi_licensor_present,sentence,npi_licensing,1,0.888,0.988,0.927,0.927894737,1000
sentential_negation_npi_licensor_present,two-prefix,npi_licensing,1,0.975,0.864,0.969,0.927894737,1000
sentential_negation_npi_scope,sentence,npi_licensing,0.232,0.951,0.533,0.447,0.81,1000
sentential_negation_npi_scope,two-prefix,npi_licensing,0.228,0.733,0.49,0.461,0.81,1000
existential_there_quantifiers_1,sentence,quantifiers,0.963,0.989,0.937,0.905,0.94,1000
existential_there_quantifiers_2,sentence,quantifiers,0.162,0.244,0.14,0.623,0.764210526,1000
superlative_quantifiers_1,sentence,quantifiers,0.628,0.836,0.843,0.447,0.91,1000
superlative_quantifiers_2,sentence,quantifiers,0.826,0.781,0.852,0.165,0.85,1000
superlative_quantifiers_2,two-prefix,quantifiers,0.817,0.867,0.603,0.165,0.85,1000
animate_subject_passive,one-prefix,argument_structure,0.706,0.773,0.745,0.723,0.86,1000
animate_subject_passive,sentence,argument_structure,0.715,0.786,0.743,0.703,0.86,1000
animate_subject_trans,sentence,argument_structure,0.868,0.485,0.885,0.907,0.87,1000
animate_subject_trans,two-prefix,argument_structure,0.863,0.795,0.446,0.908,0.87,1000
distractor_agreement_relational_noun,one-prefix,subject_verb_agreement,0.781,0.852,0.821,0.196,0.81,1000
distractor_agreement_relational_noun,sentence,subject_verb_agreement,0.76,0.827,0.772,0.235,0.81,1000
distractor_agreement_relative_clause,one-prefix,subject_verb_agreement,0.644,0.701,0.608,0.158,0.856842105,1000
distractor_agreement_relative_clause,sentence,subject_verb_agreement,0.627,0.681,0.598,0.217,0.856842105,1000
irregular_plural_subject_verb_agreement_1,one-prefix,subject_verb_agreement,0.806,0.887,0.796,0.735,0.95,1000
irregular_plural_subject_verb_agreement_1,sentence,subject_verb_agreement,0.811,0.945,0.776,0.726,0.95,1000
irregular_plural_subject_verb_agreement_2,sentence,subject_verb_agreement,0.891,0.959,0.827,0.876,0.94,1000
irregular_plural_subject_verb_agreement_2,two-prefix,subject_verb_agreement,0.912,0.921,0.927,0.885,0.94,1000
